case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Jsoup_53,20251218_075532,20251218_075543,0.027620425050956188,0.02707082890431508,0.05469125395527127
Codec_10,20251218_075532,20251218_075543,0.027401200828732986,0.027017337205405865,0.05441853803413885
Csv_15,20251218_075532,20251218_075543,0.027257385995231642,0.026829171910842154,0.05408655790607379
Math_18,20251218_075532,20251218_075543,0.027393548115712152,0.026683900413570466,0.05407744852928262
Closure_168,20251218_075532,20251218_075543,0.027082763041728075,0.02653997409634474,0.053622737138072814
Jsoup_27,20251218_075532,20251218_075543,0.02708720092681416,0.02632834222320657,0.05341554315002073
Math_105,20251218_075532,20251218_075543,0.026959788287450825,0.025881877688618448,0.05284166597606928
Jsoup_23,20251218_075532,20251218_075543,0.02654063808301177,0.026100246308500295,0.052640884391512065
Lang_46,20251218_075532,20251218_075543,0.02652469022229731,0.026103495230379792,0.0526281854526771
JacksonCore_21,20251218_075532,20251218_075543,0.026533506246170457,0.026078258408233523,0.05261176465440398
Gson_10,20251218_075532,20251218_075543,0.026353836553030474,0.025854601790810772,0.05220843834384124
Time_25,20251218_075532,20251218_075543,0.02643275412845436,0.025160022610905525,0.051592776739359886
JxPath_20,20251218_075532,20251218_075543,0.02587460490554161,0.025234852958394786,0.05110945786393639
Jsoup_18,20251218_075532,20251218_075543,0.02519475953054129,0.02446153105434898,0.04965629058489027
Csv_3,20251218_075532,20251218_075543,0.025123108188277454,0.024525641213910196,0.04964874940218765
JxPath_8,20251218_075532,20251218_075543,0.024923249814371218,0.024416287925943664,0.04933953774031488
Closure_161,20251218_075532,20251218_075543,0.02480385080832237,0.024375809659275657,0.04917966046759803
Csv_4,20251218_075532,20251218_075543,0.02466827445865105,0.024247147052184396,0.048915421510835444
Closure_123,20251218_075532,20251218_075543,0.024432538912446677,0.024126159793429466,0.04855869870587615
Lang_15,20251218_075532,20251218_075543,0.024447891609334693,0.024070878231881507,0.0485187698412162
Compress_38,20251218_075532,20251218_075543,0.025305956833904686,0.02289285057429541,0.048198807408200095
JacksonDatabind_63,20251218_075532,20251218_075543,0.024424462351509302,0.023765704042998402,0.048190166394507704
Math_14,20251218_075532,20251218_075543,0.02454379601450407,0.023633489611982177,0.04817728562648625
Closure_164,20251218_075532,20251218_075543,0.02430900784107104,0.023827527528985815,0.048136535370056854
Math_40,20251218_075532,20251218_075543,0.024161540296537387,0.02384911470580846,0.048010655002345845
JacksonDatabind_47,20251218_075532,20251218_075543,0.023914543099817553,0.02358557509635634,0.04750011819617389
Lang_64,20251218_075532,20251218_075543,0.024304797806664613,0.023167170450135666,0.04747196825680028
JacksonDatabind_27,20251218_075532,20251218_075543,0.023735235687474487,0.023360602057456364,0.047095837744930855
Jsoup_10,20251218_075532,20251218_075543,0.023555616494847387,0.02319520167075869,0.04675081816560608
Math_22,20251218_075532,20251218_075543,0.023401674336931633,0.02298720821476819,0.046388882551699824
Csv_1,20251218_075532,20251218_075543,0.02334473005614024,0.02284496376744182,0.04618969382358206
Jsoup_15,20251218_075532,20251218_075543,0.023161824142868603,0.02284506844167809,0.046006892584546696
Lang_31,20251218_075532,20251218_075543,0.02353871483041381,0.02236251320020114,0.04590122803061495
Closure_54,20251218_075532,20251218_075543,0.023066674840041435,0.02274271543137729,0.045809390271418726
Cli_8,20251218_075532,20251218_075543,0.022978589225395973,0.022490997322813906,0.04546958654820988
Math_99,20251218_075532,20251218_075543,0.022793774933540067,0.022402574608895352,0.04519634954243542
Math_29,20251218_075532,20251218_075543,0.022739985652093786,0.02229929723941794,0.045039282891511725
Math_30,20251218_075532,20251218_075543,0.02277165914765411,0.022064834861290416,0.04483649400894453
Lang_36,20251218_075532,20251218_075543,0.022431640922342178,0.022142739268019795,0.04457438019036197
Closure_116,20251218_075532,20251218_075543,0.02246490235977583,0.021961532132361204,0.04442643449213703
Cli_29,20251218_075532,20251218_075543,0.022262029056672628,0.021730949445335185,0.04399297850200781
Compress_40,20251218_075532,20251218_075543,0.022164455787759385,0.02174661450473752,0.043911070292496905
Closure_146,20251218_075532,20251218_075543,0.021983635951272618,0.021556506122367966,0.043540142073640584
Math_9,20251218_075532,20251218_075543,0.02197996442767769,0.02154433478911718,0.04352429921679487
Mockito_1,20251218_075532,20251218_075543,0.02176240827172582,0.02145877976855185,0.04322118804027767
Closure_157,20251218_075532,20251218_075543,0.02163682540072931,0.021276347688399255,0.042913173089128565
Math_88,20251218_075532,20251218_075543,0.02161296927215073,0.021104034339623535,0.04271700361177426
Collections_18,20251218_075532,20251218_075543,0.021678804377583072,0.02081370052665171,0.042492504904234785
Lang_49,20251218_075532,20251218_075543,0.021412155344081363,0.020997147606298262,0.042409302950379625
Lang_52,20251218_075532,20251218_075543,0.02119182403149078,0.020959749742826626,0.04215157377431741
Jsoup_54,20251218_075532,20251218_075543,0.021610766407924364,0.020528399947372294,0.04213916635529666
Closure_89,20251218_075532,20251218_075543,0.02111678832522146,0.0208031922887083,0.04191998061392976
Codec_8,20251218_075532,20251218_075543,0.02096263397333087,0.02064561309469079,0.04160824706802166
Math_8,20251218_075532,20251218_075543,0.020795861538136284,0.02034913471311536,0.04114499625125165
Closure_79,20251218_075532,20251218_075543,0.020559677718814617,0.02028317334668112,0.04084285106549573
JacksonCore_15,20251218_075532,20251218_075543,0.020258527636209722,0.019796065674682922,0.040054593310892644
Closure_58,20251218_075532,20251218_075543,0.02018025590625694,0.01967013890438283,0.03985039481063977
Closure_115,20251218_075532,20251218_075543,0.019902604765559717,0.019461220772655222,0.039363825538214936
